Station,Cruise,Date,Latitude [N],Longitude [E],CTD_Pressure [db],CTD_Depth [m],Sigma_theta [kg/m3],Salinity [psu],Temperature [C],Temperature [K],N2O [nM],XN2O [ppb],monthlymean_SLP [atm],monthlymean_U10 [m/s]
PS2,SR1805,Mar 27 2018,15.76666,255.00033333300001,4.237,4.212,21.7962,34.1808,27.9473,301.09729999999996,11.06192025316456,331.0,0.9988129257218751,2.5394968456101044
PS3,SR1805,Apr 04 2018,17.68336,257.65,2.624,2.608,23.2343,34.553,24.2318,297.3818,67.49509933229815,331.59,0.9989987442531251,1.4549735363559295
T1,SR1805,Mar 24 2018,12.50774,250.39,3.0,2.983,21.2154,33.6533,28.5108,301.6608,8.559563094339623,331.0,0.9988008205312501,5.310381631516994
T2,SR1805,Mar 25 2018,14.00732,252.4995,2.667,2.651,21.3333,33.7303,28.3276,301.4776,10.25760128687888,331.0,0.9989139308156251,3.9539749025926354
T3,SR1805,Mar 26 2018,15.1149,254.068333333,3.262,3.243,21.1715,33.7075,28.7671,301.9171,10.35520183018868,331.0,0.998904524234375,2.6859180226502066
T4,SR1805,Apr 04 2018,16.32997,255.806666667,2.374,2.36,22.2228,34.4564,27.268,300.418,10.89217184810127,331.59,0.9990472421187501,2.315720847670551
T5,SR1805,Apr 04 2018,16.85822,256.554,5.762,5.728,22.2092,34.3444,27.048,300.198,11.69525636942675,331.59,0.998872218025,2.8479839242512073
T6,SR1805,2018-04-01 00:00:00,17.33186,257.191333333,2.719,2.703,22.3637,34.3939,26.6779,299.8279,12.71544482725156,331.59,0.998872218025,2.8479839242512073
BB1,TN278,2012-03-01 00:00:00,20.15333,253.995,2.194,2.194,23.2948,34.652,24.2857,297.4357,11.45375706,325.33,0.9991414621375,6.193054801848415
BB2,TN278,2012-03-01 00:00:00,16.53333,252.87799,2.311,2.311,21.976,33.8684,26.658,299.808,5.917853724,325.33,0.99948611310625,4.771803307590127
